protocol,host,port,binance,binance_uf,upbit,okx
http,152.26.229.86,9443,0.546,999.0,0.713,0.465
http,35.185.196.38,3128,0.817,999.0,0.587,0.633
http,152.26.229.42,9443,999.0,999.0,0.271,0.46
http,172.183.241.1,8080,0.31,999.0,3.153,2.098
http,20.119.77.88,8197,999.0,999.0,999.0,1.257
http,221.152.121.218,1080,999.0,1.246,1.002,1.081
http,34.84.14.127,3128,999.0,0.948,1.011,1.143
http,51.158.169.52,29976,999.0,999.0,1.352,0.885
http,43.132.124.11,3128,999.0,1.533,999.0,999.0
http,152.26.229.57,9443,0.208,999.0,0.242,999.0
http,152.67.9.179,8100,999.0,1.92,1.489,999.0
http,147.135.54.182,3128,999.0,999.0,0.529,0.605
http,91.238.105.56,8080,999.0,1.922,0.828,1.087
http,20.235.159.154,80,999.0,1.695,1.654,1.485
http,160.86.242.23,8080,999.0,1.011,999.0,0.928
http,199.167.236.12,3128,999.0,999.0,0.561,0.5
http,41.231.37.76,3128,999.0,2.712,2.181,1.738
http,142.93.142.36,9122,2.454,999.0,2.142,2.95
http,211.253.36.172,5001,999.0,1.422,1.559,1.183
http,8.219.97.248,80,999.0,2.481,2.528,999.0
http,183.103.170.34,1001,999.0,2.585,1.019,1.054
http,178.48.68.61,18080,999.0,2.471,1.351,1.369
http,13.40.239.130,3128,999.0,999.0,2.235,999.0
http,147.28.145.213,443,999.0,999.0,0.366,999.0
http,147.28.145.213,10037,999.0,999.0,1.016,0.4
http,44.226.167.102,80,1.991,999.0,999.0,999.0
http,192.99.169.19,8445,999.0,999.0,2.398,999.0
http,72.10.164.178,1061,2.292,2.62,2.37,1.769
http,67.43.227.227,18587,1.516,2.217,1.448,999.0
http,45.174.77.116,999,0.542,1.423,0.6,0.574
http,67.43.228.253,13053,1.615,999.0,1.613,1.907
http,67.43.236.20,9897,2.195,2.476,2.378,2.058
http,67.43.228.250,21791,1.323,1.678,1.169,1.299
http,67.43.227.228,10903,999.0,999.0,2.175,2.066
http,67.43.227.227,19591,999.0,999.0,1.827,999.0
http,95.216.147.59,3128,999.0,2.04,1.209,999.0
http,103.176.96.140,8082,1.66,999.0,999.0,999.0
http,103.166.227.25,3125,999.0,2.281,1.969,1.336
http,72.10.160.90,17967,1.764,2.499,2.51,1.66
http,67.43.228.253,10441,1.808,2.175,1.614,1.573
http,67.43.227.227,9365,999.0,2.88,2.485,999.0
http,67.43.236.20,28805,999.0,999.0,1.661,999.0
http,67.43.228.253,19979,999.0,999.0,2.033,2.438
http,50.205.202.249,3128,999.0,999.0,0.269,0.545
http,72.10.160.94,32633,1.715,999.0,2.361,2.05
http,31.129.253.30,40223,999.0,2.783,1.594,999.0
http,23.152.40.14,3128,999.0,999.0,0.211,999.0
http,72.10.160.90,3525,1.391,2.022,1.367,1.304
http,67.43.236.18,9013,1.645,2.459,1.763,999.0
http,195.154.184.80,8080,0.95,999.0,0.932,1.267
http,59.157.2.63,32304,999.0,1.275,999.0,999.0
http,72.10.160.171,19419,1.771,2.789,2.007,1.94
http,67.43.236.20,10007,1.383,2.334,4.577,1.343
http,72.10.160.90,10223,1.53,2.532,1.692,1.743
http,72.10.160.90,4163,1.435,2.088,1.397,1.486
http,102.214.165.241,1981,5.75,5.997,7.24,2.007
http,67.43.227.227,15447,1.656,2.4,1.155,0.916
http,72.10.164.178,27425,2.064,2.752,2.439,1.994
http,67.43.236.19,6535,2.023,2.77,2.195,1.59
http,72.10.160.173,24109,1.162,2.617,1.052,1.263
http,72.10.164.178,22277,999.0,999.0,1.912,999.0
http,67.43.236.18,10007,1.226,2.987,2.21,1.426
http,67.43.228.253,1551,0.946,2.478,1.237,1.196
http,112.106.145.190,80,999.0,1.213,0.995,1.022
http,72.10.160.92,28551,999.0,5.461,1.597,1.589
http,72.10.160.90,2065,2.272,2.445,1.549,2.135
http,72.10.164.178,16463,1.442,1.76,1.323,1.461
http,72.10.160.92,1349,999.0,4.775,1.63,999.0
http,67.43.227.229,31167,1.424,2.026,1.278,1.486
http,67.43.227.227,5619,999.0,2.628,1.71,999.0
http,72.10.164.178,23191,0.81,2.184,0.631,0.955
http,27.75.99.238,4010,999.0,999.0,1.8,999.0
http,72.10.160.90,16713,999.0,999.0,1.351,1.54
http,72.10.160.90,32041,1.598,2.824,1.711,999.0
http,67.43.227.227,20939,0.785,1.633,1.073,0.927
http,67.43.228.254,1179,1.468,2.692,2.333,1.639
http,23.122.184.9,8888,999.0,999.0,0.578,999.0
http,67.43.236.20,19307,999.0,999.0,1.85,1.765
http,91.173.236.172,3128,999.0,2.16,5.465,1.247
http,72.10.160.90,14067,999.0,999.0,1.67,1.356
http,67.43.228.250,27815,999.0,999.0,1.902,2.375
http,72.10.160.90,13885,1.573,2.609,1.599,1.536
http,15.204.151.142,31158,999.0,999.0,0.126,0.35
http,67.43.227.228,31361,999.0,999.0,1.734,1.458
http,72.10.160.90,28541,1.986,3.075,2.216,2.379
http,67.43.227.227,14207,999.0,999.0,2.382,999.0
http,146.56.154.83,21000,999.0,999.0,1.985,999.0
http,72.10.164.178,31517,999.0,2.3,1.789,999.0
http,47.90.82.199,3128,999.0,1.779,999.0,999.0
http,72.10.164.178,2923,2.046,2.512,1.566,1.516
http,67.43.236.20,12603,1.735,3.239,2.039,3.754
http,72.10.160.90,23837,999.0,2.555,1.907,999.0
http,72.10.160.92,28825,999.0,2.96,2.439,2.229
http,131.186.59.207,36666,999.0,2.312,999.0,999.0
http,72.10.164.178,28931,4.065,2.998,2.378,2.492
http,72.10.160.90,32633,1.575,999.0,1.524,2.07
http,220.150.76.92,6000,999.0,999.0,999.0,0.946
http,72.10.160.90,19761,1.276,2.041,1.538,1.506
http,67.43.236.20,1079,999.0,999.0,1.695,2.692
http,67.43.227.226,29895,1.304,1.852,1.389,1.33
http,203.127.235.52,17533,2.606,2.069,1.776,1.291
http,67.43.236.20,2639,1.504,2.03,1.814,999.0
http,72.10.160.90,25845,1.282,2.086,1.435,1.652
http,203.127.235.110,17533,1.132,1.644,1.172,1.298
http,67.43.227.227,23033,1.95,3.086,2.089,1.989
http,67.43.227.227,23883,999.0,999.0,1.363,999.0
http,72.10.164.178,7901,999.0,2.862,1.947,999.0
http,124.248.180.163,8080,999.0,5.3,999.0,1.751
http,67.43.227.228,19591,999.0,999.0,2.012,999.0
http,72.10.164.178,7515,999.0,999.0,2.183,1.744
http,72.10.164.178,32991,0.499,999.0,0.602,0.803
http,72.10.160.90,22405,999.0,999.0,2.246,2.273
http,67.43.236.20,16159,0.697,999.0,0.692,0.8
http,67.43.228.253,13449,0.949,2.585,0.933,1.104
http,216.87.69.230,8383,999.0,999.0,0.481,0.63
http,72.10.160.90,15029,999.0,999.0,1.394,1.382
http,72.10.164.178,21261,0.897,2.638,3.306,1.4
http,72.10.164.178,6539,999.0,999.0,2.174,999.0
http,67.43.236.20,23831,1.361,2.28,1.914,1.766
http,67.43.227.227,24451,1.054,1.103,1.242,1.283
http,72.10.164.178,4135,1.239,2.928,1.064,1.522
http,67.43.227.227,29447,1.1,4.417,1.615,999.0
http,159.138.123.253,8080,999.0,1.687,1.189,1.26
http,72.10.164.178,31315,1.734,2.459,2.158,2.065
http,72.10.160.90,14919,2.513,2.651,2.126,2.058
http,67.43.236.20,19711,1.847,2.899,1.985,2.175
http,72.10.164.178,8803,1.875,3.612,2.59,1.82
http,72.10.164.178,16429,1.198,2.59,1.228,2.326
http,72.10.164.178,22653,1.934,5.017,2.513,1.914
http,67.43.228.250,14185,0.973,2.027,1.183,1.247
http,168.119.212.35,3128,999.0,2.17,0.746,0.859
http,72.10.164.178,22799,1.623,2.452,1.794,1.625
http,72.10.160.90,27175,1.574,2.37,1.515,2.036
http,67.43.236.20,19811,0.803,1.811,0.913,0.926
http,5.196.111.29,20669,0.694,2.189,1.78,0.97
http,202.136.165.163,17533,1.419,1.883,1.729,1.298
http,67.43.228.253,27849,0.795,999.0,0.805,1.034
http,67.43.227.227,1639,2.172,3.565,2.481,3.082
http,87.247.186.40,1080,999.0,999.0,1.213,999.0
http,67.43.227.227,20175,0.69,999.0,0.673,0.793
http,67.43.227.227,32031,1.769,2.482,1.369,1.695
http,72.10.164.178,1669,2.311,2.829,2.481,2.141
http,72.10.160.90,29203,3.361,4.037,3.201,1.823
http,67.43.236.19,32175,1.653,2.286,1.945,1.445
http,67.43.228.252,23527,2.284,2.788,2.076,2.462
http,67.43.228.253,3137,2.143,2.465,1.933,2.133
http,67.43.227.227,22767,2.432,5.749,2.24,2.515
http,72.10.164.178,27345,2.084,2.875,1.161,1.302
http,67.43.227.228,7399,1.155,2.409,1.423,1.498
http,72.10.164.178,24849,0.887,2.372,1.129,1.245
http,192.18.135.185,3128,0.399,999.0,0.457,0.611
http,67.43.227.227,1271,1.309,2.104,1.815,3.521
http,134.122.5.219,3128,999.0,999.0,0.138,0.34
http,91.108.241.115,8080,999.0,2.001,0.708,1.05
http,72.10.160.174,11213,999.0,2.629,1.771,999.0
http,72.10.164.178,2855,999.0,2.917,2.547,1.37
http,72.10.160.91,17967,1.648,2.599,1.773,1.526
http,67.43.227.228,23891,0.893,999.0,999.0,999.0
http,203.74.125.18,8888,999.0,1.45,999.0,999.0
http,171.232.79.226,4002,999.0,999.0,2.106,999.0
http,67.43.228.250,16615,1.031,2.123,1.085,1.547
http,67.43.227.227,9891,2.226,3.108,2.184,2.075
http,67.43.228.251,15875,1.165,3.187,1.409,1.687
http,72.10.164.178,4001,1.452,2.118,1.442,1.292
http,20.219.144.149,3128,999.0,1.761,1.239,1.313
http,72.10.164.178,12965,2.117,2.832,1.986,1.852
http,67.43.227.227,19569,2.381,9.24,999.0,9.485
http,72.10.164.178,32647,1.511,3.059,1.903,2.817
http,67.43.228.250,2079,1.312,3.59,1.889,999.0
http,72.10.160.171,7515,999.0,3.164,1.534,999.0
http,67.43.227.227,18733,3.608,3.265,2.495,2.973
