symbol,d_081011
TWT,2252.1530612244896
MAGIC,7355.6214285714295
ALGO,
STG,9148.187772925765
OM,1292.7332653061223
RDNT,
BNT,3028.5673469387757
LPT,
POWR,16289.070559610705
HFT,10781.526530612246
MATIC,31151.920408163267
ENS,
ANKR,134167.66983372922
CHZ,
ORDI,221.61040816326528
MASK,1716.4836734693877
RIF,32623.01836734694
RONIN,1366.1026530612246
MKR,3.0190204081632657
ENJ,19755.84081632653
AVAX,
VET,188911.5081632653
OGN,49253.50144092219
DOGE,
SAND,23610.344897959185
XRP,95683.66408163267
BOND,
STEEM,13815.516326530613
ARKM,1886.126530612245
TAO,7.861838775510203
BADGER,631.5408163265306
USTC,161045.35570469798
GMX,79.69230612244897
AXL,5811.61224489796
JUP,7148.79387755102
TRX,98099.28979591836
ILV,53.16924731182796
BCH,25.195391836734693
TRU,
ZK,
SXP,
KEY,450576.41200828156
GALA,496197.5816326531
BAT,22291.617841409687
FTM,
LISTA,
ZRX,14870.746475770924
QNT,35.919374999999995
METIS,99.5127074235808
SOL,
ONG,6237.585714285714
XVS,337.9860520094563
STMX,876734.1306413301
APT,1497.1457142857141
FXS,806.7902040816326
BEL,
ID,5165.6061224489795
SNX,4160.038541666667
DYDX,11381.447959183673
NTRN,6069.824489795918
REN,75409.04502369669
TRB,
WLD,4155.816326530612
COTI,34779.204081632655
BB,
DUSK,9256.83469387755
AUCTION,176.61240816326531
LIT,4878.812776412776
ALT,40659.02040816326
ROSE,46007.27551020408
ENA,22456.279591836734
DAR,
MANA,18987.88163265306
ETH,12.904151020408163
OXT,30227.522911051212
EOS,
EDU,6929.9857142857145
CTSI,27562.963585434172
ONE,324400.68720379146
FIL,3959.0073469387758
UMA,1861.1467889908256
DASH,
STX,
ARB,
BNX,
MINA,8233.09387755102
GMT,39404.61632653061
ONT,24637.821052631578
IOTX,
LDO,4712.087755102041
RNDR,
T,206071.56824512535
RLC,1273.997551020408
REEF,1986509.4517906336
TNSR,10554.741224489795
NFP,
AMB,252303.62040816326
XTZ,7281.800992555831
HOOK,10707.932653061225
SUPER,4491.442857142857
CKB,238226.17346938775
NMR,139.33081632653062
NOT,580951.4122448979
CHR,
SSV,76.92375510204081
ALICE,5559.686247086247
SPELL,
LEVER,841912.8448979591
CFX,
ASTR,55034.840816326534
1INCH,13337.484782608695
XAI,21556.67551020408
OMNI,301.5248979591837
YGG,14160.881632653061
PHB,1326.3877551020407
APE,8129.022448979592
ACE,1202.646387755102
KLAY,26193.84446902655
ZRO,
BEAMX,189748.1387755102
CRV,107514.33233532934
FLM,87674.02556818182
SUSHI,
ETHFI,6141.773877551019
C98,27684.13527851459
PYTH,15921.191836734693
WOO,15960.33469387755
UNFI,907.3908163265306
PERP,
AGLD,
BTC,0.6274755102040815
BAKE,
AEVO,10114.292244897959
W,35337.24122448979
ZEC,238.78654285714288
ALPHA,
KAVA,10726.592592592593
1000SATS,
DOT,3379.661836734694
AI,6386.2673469387755
LINA,
IOTA,33034.61141552511
DYM,2079.2589795918366
STRK,13857.735918367347
ATA,
GRT,27105.19387755102
IOST,657229.4352441614
YFI,0.7585000000000001
FET,4007.044897959184
IMX,3040.534693877551
MAV,10915.544897959184
TLM,164300.53265306124
FRONT,
LSK,3281.6081632653063
STORJ,8901.573469387755
JASMY,154706.6979591837
POLYX,12066.122448979591
SKL,51849.92040816326
ICX,25779.27089337176
BAND,
FLOW,
ARK,9084.244897959185
RUNE,
GLM,10433.055555555555
NKN,34334.269320843094
BLUR,
API3,1930.1283673469388
BICO,
GTC,
CELR,
CAKE,
RVN,178030.15365239294
INJ,326.879387755102
ICP,
DENT,
KNC,7396.891836734694
VANRY,
JTO,1314.7081632653062
AAVE,68.81816326530613
LQTY,
COMBO,7202.143265306122
OP,6072.681836734694
GAS,979.3734693877551
LTC,361.68712448979596
BAL,1490.3736994219655
NEAR,2879.991836734694
LINK,1520.5540612244897
AR,148.62367346938777
WIF,5922.005510204081
ARPA,70584.11725663717
SUI,
CYBER,811.955918367347
LOOM,
MTL,3308.465306122449
AXS,1160.2836734693878
MOVR,
MEME,
ZEN,286.2708163265306
IO,
NEO,550.0563265306122
XVG,744127.0
HOT,1900369.6453744494
TIA,
QTUM,1705.7056511056508
PENDLE,1047.1244897959184
ZIL,
ACH,96534.38163265307
PORTAL,14791.165771812084
ATOM,1671.4158775510205
KSM,154.13244897959186
WAXP,97374.60348583879
HIGH,
SEI,30698.748979591837
