symbol,d_081011
TWT,716.0775510204081
MAGIC,3195.061479591837
ALGO,
STG,
OM,
RDNT,
BNT,
LPT,
POWR,4396.070776255708
HFT,4296.193681318683
MATIC,5391.899387755101
ENS,
ANKR,31501.29931972789
CHZ,
ORDI,149.95214285714286
MASK,990.6053164556962
RIF,16448.101604278076
RONIN,789.7325806451615
MKR,0.7625797959183673
ENJ,4692.9171875
AVAX,
VET,56660.24510204082
OGN,8725.183381088826
DOGE,
SAND,4978.914285714286
XRP,20147.86530612245
BOND,
STEEM,9783.920249221183
ARKM,2833.475306122449
TAO,23.39809285714286
BADGER,
USTC,84847.08367346939
GMX,38.06036883116884
AXL,
JUP,3568.929387755102
TRX,25606.736326530612
ILV,18.891097447795822
BCH,8.50238775510204
TRU,
ZK,
SXP,
KEY,239527.15450643777
GALA,162736.59591836735
BAT,
FTM,
LISTA,
ZRX,
QNT,25.205935643564356
METIS,
SOL,
ONG,2950.1355191256835
XVS,188.28300268096515
STMX,122427.47959183673
APT,
FXS,
BEL,
ID,3742.237885462555
SNX,565.5372960372961
DYDX,
NTRN,
REN,8353.93112244898
TRB,
WLD,3215.706326530613
COTI,
BB,
DUSK,
AUCTION,83.14030172413793
LIT,
ALT,
ROSE,14906.101428571428
ENA,
DAR,
MANA,3687.0971428571424
ETH,6.39284306122449
OXT,
EOS,
EDU,6490.2673469387755
CTSI,
ONE,85132.94999999998
FIL,
UMA,496.0506024096385
DASH,
STX,
ARB,
BNX,
MINA,3338.7418367346936
GMT,13371.028329297822
ONT,
IOTX,
LDO,
RNDR,
T,
RLC,921.3657397959182
REEF,
TNSR,5558.694117647058
NFP,
AMB,225298.77551020408
XTZ,1475.1192366412217
HOOK,3827.892448979592
SUPER,1086.995918367347
CKB,119472.69795918367
NMR,66.22603723404255
NOT,
CHR,
SSV,
ALICE,1902.5323670212767
SPELL,
LEVER,339448.2792607803
CFX,
ASTR,36641.15552486188
1INCH,2661.4777551020416
XAI,6741.082870370369
OMNI,
YGG,3367.257959183673
PHB,
APE,
ACE,856.1148058252427
KLAY,
ZRO,
BEAMX,92388.38990825688
CRV,8067.973265306123
FLM,60489.2042042042
SUSHI,
ETHFI,2401.877346938775
C98,
PYTH,9919.74163265306
WOO,6353.907035175879
UNFI,234.11387755102038
PERP,
AGLD,
BTC,0.2744917551020408
BAKE,
AEVO,19124.133342541434
W,14537.786122448977
ZEC,
ALPHA,
KAVA,2781.700072289157
1000SATS,
DOT,651.9858775510204
AI,
LINA,
IOTA,
DYM,1333.038641686183
STRK,13478.051771117167
ATA,
GRT,11278.832653061225
IOST,177009.2561983471
YFI,0.20442108808290158
FET,11879.223469387754
IMX,920.2321224489797
MAV,
TLM,103757.72727272728
FRONT,
LSK,1349.720506329114
STORJ,2222.4020408163265
JASMY,86550.0606122449
POLYX,4610.8655480984335
SKL,
ICX,4741.089301675977
BAND,
FLOW,
ARK,2244.4134897360705
RUNE,
GLM,1675.1218274111673
NKN,16041.419345238097
BLUR,
API3,
BICO,
GTC,
CELR,
CAKE,
RVN,44487.72419354838
INJ,260.53693877551024
ICP,
DENT,
KNC,1320.7187546174143
VANRY,
JTO,1248.6585714285716
AAVE,16.732751020408163
LQTY,
COMBO,2141.640572792363
OP,3398.004857142857
GAS,259.97494456762746
LTC,46.30190000000001
BAL,
NEAR,1405.897551020408
LINK,789.711163265306
AR,110.5336530612245
WIF,
ARPA,19810.750227272725
SUI,
CYBER,
LOOM,
MTL,
AXS,154.17063265306123
MOVR,
MEME,
ZEN,304.8526730310262
IO,
NEO,
XVG,
HOT,797375.6532066509
TIA,
QTUM,351.07626075949366
PENDLE,1206.0308163265306
ZIL,
ACH,
PORTAL,6175.882750582752
ATOM,
KSM,58.311220379146924
WAXP,16563.38520408163
HIGH,
SEI,
